M167: V09:0.3998294299943339_[0] W02:0.015535918989629744_[3] W03:0.08411712485099182_[1] V08:0.05799502953501752_[2] 

M168: V10:0.11478555530874199_[1] V11:0.36120029840721407_[0] W04:0.10085859345289819_[3] W05:0.10781351001939235_[2] 
M169: W07:0.05472092631440886_[2] V10:0.10574470773779812_[1] V11:0.3437577648359207_[0] W06:0.04520740740740741_[3] 
M170: W08:0.12419552840039606_[2] W09:0.12520545211053594_[1] V10:0.2640783936447925_[0] V11:0.08150462962962962_[3] 
M171: V11:0.12710109714952172_[1] W10:0.061988008089247766_[3] W11:0.06380137284359086_[2] V10:0.35218656066797216_[0] 
M172: V10:0.39204299205738347_[0] V11:0.07207741477272726_[2] W12:0.11367043896067712_[1] W13:0.023117388583850065_[3] 
M173: W15:0.06573811388611389_[2] V10:0.13474146145529386_[1] V11:0.36388958834792295_[0] W14:0.03739587540860275_[3] 
M174: W00:0.1515346780791225_[1] W01:0.08698158949461032_[3] V10:0.3001586953512879_[0] V11:0.11930472787243619_[2] 
M175: V11:0.329107997671263_[0] W02:0.040050555797083574_[3] W03:0.15472156702780523_[1] V10:0.10016825617692965_[2] 

M176: V12:0.10981155555555557_[3] V13:0.22777485572357373_[0] W04:0.13511385459533606_[2] W05:0.15139094650205762_[1] 
M177: W07:0.06732316813203333_[2] V12:0.1088718852499921_[1] V13:0.33393440178296974_[0] W06:0.03758015780540093_[3] 
M178: W08:0.15728414973344668_[1] W09:0.09574345919429164_[2] V12:0.0871611880046136_[3] V13:0.28974178449097315_[0] 
M179: V13:0.18765951698050462_[0] W10:0.18081149515708736_[2] W11:0.18387621482537655_[1] V12:0.11859659090909092_[3] 
M180: V12:0.10725080018289894_[1] V13:0.392179149819535_[0] W12:0.10594864751437896_[2] W13:0.0659983154974237_[3] 
M181: W15:0.04263616830660836_[2] V12:0.34311599370688745_[0] V13:0.15596539960621322_[1] W14:0.027840369648378483_[3] 
M182: W00:0.10869738961038962_[3] W01:0.32821253246753246_[0] V12:0.11500512171142376_[2] V13:0.1477532768157768_[1] 
M183: V13:0.10222544900313064_[1] W02:0.08251939197885144_[3] W03:0.3993473686041254_[0] V12:0.08528645833333333_[2] 

M184: V14:0.40743716488510867_[0] V15:0.07213428727841312_[1] W04:0.03484611472897733_[3] W05:0.05490004174360583_[2] 
M185: W07:0.15928073707739723_[1] V14:0.07958333333333333_[3] V15:0.3289323684646541_[0] W06:0.14891314004829204_[2] 
M186: W08:0.10057640204124578_[3] W09:0.34240773621632997_[0] V14:0.12157394255050503_[2] V15:0.17445858377160034_[1] 
M187: V15:0.17205185405512585_[0]_[1] W10:0.14451716624149658_[2]_[3] W11:0.14451716624149658_[2]_[3] V14:0.17205185405512585_[0]_[1] 
M188: V14:0.3108840971606486_[0] V15:0.06647609311104119_[3] W12:0.10451024654357985_[1] W13:0.10279985112763122_[2] 
M189: W15:0.056129125167236504_[2] V14:0.13279683240174753_[1] V15:0.36538856559838784_[0] W14:0.02604996936983777_[3] 
M190: W00:0.10074804274128599_[3] W01:0.22300488556228348_[0] V14:0.1731737206482104_[1] V15:0.1234723405139284_[2] 
M191: V15:0.07095842686120463_[1] W02:0.02832043838943196_[3] W03:0.41869595457159703_[0] V14:0.06350134524434305_[2] 

